DyadId,ConflictId,Location,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,Year,IntensityLevel,TypeOfConflict,StartDate,StartPrec,StartDate2,StartPrec2,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version
515,1-139,India,Government of India,,TNV,1148,,1,Tripura,1988,1,3,1979-07-09,1,1979-12-31,5,750,,,,750,3,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1966,1,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1967,1,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1968,1,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1969,1,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1970,1,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1971,1,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1972,1,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1973,1,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1974,1,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1975,1,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1976,1,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1977,1,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1978,2,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1979,1,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1980,2,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1981,2,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1982,2,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1983,2,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1984,1,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1985,1,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1986,2,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1987,2,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
516,1-101,South Africa,Government of South Africa,,SWAPO,1307,,1,Namibia,1988,2,3,1966-08-26,1,1966-12-31,5,560,,,,560,4,1.0-2016
517,1-97,"Cambodia (Kampuchea), Thailand",Government of Cambodia (Kampuchea),,Government of Thailand,800,,1,Common Border,1977,1,2,1975-12-15,2,1977-12-31,5,811,,800,,"800, 811",3,1.0-2016
